Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
12:00 AM,Naturescape,Naturescape,Naturescape,Franklin S1,Naturescape,Naturescape,Big City Greens
12:30 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
1:00 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
1:30 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
2:00 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
2:30 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
3:00 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
3:30 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
4:00 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
4:30 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
5:00 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
5:30 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
6:00 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
6:30 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
7:00 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
7:30 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
8:00 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
8:30 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
9:00 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
9:30 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
10:00 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
10:30 AM,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Naturescape,Big City Greens
11:00 AM,Naturescape,Big City Greens,Big City Greens,Big City Greens,Naturescape,Naturescape,Big City Greens
11:30 AM,Naturescape,Big City Greens,Big City Greens,Big City Greens,Naturescape,Naturescape,Big City Greens
12:00 PM,Naturescape,Big City Greens,Big City Greens,Big City Greens,Naturescape,Naturescape,Big City Greens
12:30 PM,Naturescape,Last week tonight,Last week tonight,Last week tonight,,Naturescape,Big City Greens
1:00 PM,Naturescape,The Problem With Jon Stewart,The Problem With Jon Stewart,The Problem With Jon Stewart,Big City Greens,Naturescape,Big City Greens
1:30 PM,Naturescape,Technology Connections,Technology Connections,Technology Connections,Big City Greens,Naturescape,Big City Greens
2:00 PM,Big City Greens,Big City Greens,Technology Connections,Technology Connections,Big City Greens,Big City Greens,Big City Greens
2:30 PM,Big City Greens,Big City Greens,Naturescape,Naturescape,Last week tonight,Big City Greens,Big City Greens
3:00 PM,Big City Greens,Big City Greens,Naturescape,Naturescape,The Problem With Jon Stewart,Big City Greens,Big City Greens
3:30 PM,Last week tonight,Last week tonight,Naturescape,Naturescape,Naturescape,Last week tonight,Big City Greens
4:00 PM,The Problem With Jon Stewart,The Problem With Jon Stewart,Naturescape,Naturescape,The Problem With Jon Stewart,The Problem With Jon Stewart,Big City Greens
4:30 PM,Technology Connections,Technology Connections,Naturescape,Technology Connections,The Problem With Jon Stewart,Naturescape,Big City Greens
5:00 PM,Technology Connections,Technology Connections,Naturescape,Lwif,Technology Connections,The Problem With Jon Stewart,Big City Greens
5:30 PM,Gumball,Gumball,Naturescape,Technology Connections,Naturescape,The Problem With Jon Stewart,Big City Greens
6:00 PM,Last week tonight,Last week tonight,Survivorman S2,Lwif,Survivorman S2,Technology Connections,Big City Greens
6:30 PM,Gravity Fals,Gravity Fals,Naturescape,Last week tonight,Naturescape,Naturescape,Big City Greens
7:00 PM,Lwif,Lwif,Naturescape,Hey Duggee S1,Naturescape,Survivorman S2,Big City Greens
7:30 PM,Pbs Kids,Pbs Kids,The Problem With Jon Stewart,A Closer Look,Pbs Kids,Naturescape,Big City Greens
8:00 PM,Pbs Kids,Pbs Kids,Technology Connections,Naturescape,Pbs Kids,Naturescape,Big City Greens
8:30 PM,Lwif,Lwif,The Problem With Jon Stewart,Pbs Kids,Lwif,Pbs Kids,Big City Greens
9:00 PM,Naturescape,Naturescape,Last week tonight,Pbs Kids,Naturescape,Pbs Kids,Big City Greens
9:30 PM,Naturescape,Naturescape,Lwif,Lwif,Naturescape,Lwif,Big City Greens
10:00 PM,Naturescape,Naturescape,Insider Food,Naturescape,Naturescape,Naturescape,Big City Greens
10:30 PM,Big City Greens,Big City Greens,Hey Duggee S1,Last week tonight,Big City Greens,Naturescape,Big City Greens
11:00 PM,Big City Greens,Big City Greens,Big City Greens,Hey Duggee S1,Big City Greens,Naturescape,Big City Greens
11:30 PM,Franklin S1,Franklin S2,Big City Greens,A Closer Look,Franklin S1,Naturescape,Big City Greens
